,feature,class
0,"[-3.8854413e+02 -2.1136980e+01 -1.2290878e+02 -2.8145189e+01
 -8.9034271e+00  3.4761623e+01  1.7197327e+01  2.1860897e+01
 -1.0961981e+01  2.1541874e+01 -2.0845487e+00  1.8623655e+01
  1.5031109e+00  7.7605581e+00 -3.7516138e-01  3.9201138e+00
  7.3733935e+00  1.0468499e+01 -9.8107347e+00  9.3943434e+00
  1.1891625e+01 -5.6174016e-01 -6.3638940e+00  1.3584423e+01
 -7.5304991e-01  7.3082871e+00  5.0515547e+00 -4.8518994e-01
  2.6683559e+00  1.5827682e+00  9.3324394e+00 -2.6755488e+00
 -3.7085168e+00  8.2128267e+00  5.6472337e-01  2.4966900e+00
  4.4381151e+00 -3.7322366e+00  3.5312746e+00  2.3436592e+00]",Fear
1,"[-484.03323     54.406715   -46.810455    -2.0012827    0.8111921
    3.033661   -36.35329     -0.8676814  -23.632198    22.941431
  -24.342697    -2.6295516    5.8993497   16.836164    17.183796
   15.006772    13.10769     26.118368    -8.810483     4.934975
    6.6048965   -6.5116124    1.83361     -4.894372    -7.847905
    5.955811    -0.9149631    6.561596     5.6935945    9.604507
   12.806933     1.5237274    2.771206     1.4379274    4.1595745
    2.2481542    3.2977061    8.14214     -1.505163     3.614387 ]",Sad
2,"[-352.4352      28.341053   -80.77427    -22.387562   -17.330305
    4.9232936   -8.951604    24.653214     9.681361     8.413569
  -22.102486     6.655178    17.552195    20.623272    -0.6586461
   -5.1548285    1.9410063    0.9473074   -2.8157895    8.202566
    3.3556464   -3.8966424    0.9969962   11.915664    -1.6667553
    3.6831949    5.3767343   -0.5871912    1.4143801    1.3186113
    9.505082     4.045358    -3.935613     2.907191     0.5851426
    0.9890192    5.848881    -1.1180706    3.0742283    1.0866265]",Fear
3,"[-3.3471112e+02  4.2237182e+00 -1.4399582e+02 -1.1064583e+01
 -2.2926907e+01  4.9139099e+00  3.5224453e+01 -2.1182402e+01
  2.7821131e-02  1.8841885e+01 -2.3366714e+01  2.2530699e+01
 -1.0452913e+01  3.8617706e+01  2.0976118e+01  1.8610081e+01
  1.0899253e+01  3.6539299e+00 -7.9179649e+00  7.0864158e+00
 -3.5597187e-01 -8.6990347e+00 -6.8441343e+00 -1.0559413e+01
 -1.6353413e+00  8.4380226e+00  6.2953019e+00  1.0118018e+01
  1.6568569e+01  1.7977154e+01  2.6043434e-02  1.0780001e+00
  8.1039482e-01  1.4625794e+00 -4.3786316e+00 -3.8240592e+00
  2.8299866e+00 -6.9062338e+00 -5.9646386e-01  4.3599968e+00]",Sad
4,"[-4.5517175e+02  6.4603180e+01 -2.6945173e+01 -1.3537490e+01
 -9.2282534e-01  3.4956432e+01 -8.6211972e-02 -5.9192002e-01
 -1.0107921e+01  8.5281334e+00 -9.3238945e+00  6.1642756e+00
 -3.3686310e+01  1.2007516e+01 -9.2857666e+00 -6.2839870e+00
 -5.0727658e+00  7.8406358e+00 -4.8296838e+00  1.3943664e+01
  5.9905457e+00  1.3184544e+01  1.6499763e+01  3.2639984e+01
  2.1371187e+01  2.8593199e+01  7.3971519e+00  4.9696622e+00
  2.1296015e+00  1.7902532e+00  6.6516395e+00  5.5561262e-01
 -6.4008689e+00  2.4977190e+00 -8.8535738e+00  5.7654657e+00
 -4.5218182e+00 -8.2607727e+00 -2.3449345e+00  2.9063404e-01]",Fear
5,"[-508.9821      86.48348    -18.09582     -8.203212   -41.425667
  -11.858585   -21.437078     6.7277617  -11.601738    -3.9703891
  -11.125043    -9.737649    -9.679585     6.53256      1.1564381
    8.048217    12.215885    32.305794    16.736044    30.405577
   -1.4994951   -2.9203637    6.03486      7.2795596   -1.7177783
    4.661947   -16.379616     0.579706     6.8647847   -8.465795
  -11.869254    -3.0175936   10.886803    14.743123    11.210858
    8.14042      4.8353906    7.5626373   -2.934905     1.9701496]",Sad
6,"[-3.9525436e+02  5.7907032e+01 -8.1122673e+01 -1.9125647e+01
 -2.0391733e+01  8.4148197e+00  2.3001153e+00  1.0391109e+01
 -1.7485472e+01  2.7009706e+01 -2.4831660e+00 -9.7926426e+00
 -1.3008012e+01  5.2667322e+00  2.7184522e+00  2.4216006e+00
  2.6113272e+00  1.9253132e+01  2.3479824e+01  2.4970442e+01
  8.2352762e+00  1.2138683e+00 -4.7961960e+00  1.6678604e+01
  6.9910455e-01  9.5575827e-01 -9.7495785e+00 -8.0946951e+00
  1.0527386e+01  8.4976645e+00 -7.3276787e+00 -1.5895505e+01
  5.4186778e+00  1.3675193e+01  8.1082420e+00  5.9635406e+00
  1.2934811e+01  1.0425340e+01 -1.1699680e-01 -8.5177956e+00]",Sad
7,"[-3.44666626e+02  6.90720596e+01 -5.87289009e+01 -2.22129765e+01
 -4.16584549e+01  1.76231518e+01  3.42324114e+00 -1.40952215e+01
 -3.80921102e+00  4.82858505e+01  1.28470621e+01  1.67972469e+01
  2.70216107e+00 -1.51265469e+01 -1.36079054e+01  1.14919558e+01
 -1.09317856e+01  5.54402494e+00  5.47173560e-01  1.48803644e+01
  1.45215950e+01 -4.63077497e+00  1.60771906e+00  1.01615930e+00
  1.99056923e+00  2.48367763e+00  7.59745455e+00 -3.36747885e-01
  5.30845451e+00  1.05164795e+01  1.63300550e+00 -2.57269359e+00
 -6.74060822e-01  6.84677839e+00  4.84704065e+00  6.66558123e+00
  5.12382329e-01  5.05429792e+00  3.44582200e+00 -2.99213409e+00]",Surprise
8,"[-296.23526      54.68265     -47.29809       1.1070755   -11.64782
   18.3368       -4.6182766     3.1088603   -18.97489       5.29322
  -17.33109       6.2261276   -13.413833     -3.1761878    -9.769262
   -8.484532     -7.520572     17.33344      14.266358     10.106783
    3.4420273     1.2909579    -3.977244     10.599903      0.90204585
    1.9016963    -6.367542      3.5921836     3.2958465     1.5156344
   -2.8686488     0.66423774    8.243607      9.015061      2.8080666
    7.429797      7.2414613     2.9417925     0.38270923    6.5433884 ]",Angry
9,"[-4.8012085e+02  8.6299362e+01 -1.6899279e+01 -1.2259995e+01
 -2.5523813e+01 -2.1216042e+01 -5.5274444e+00  7.0033021e+00
 -2.7866936e+01  4.7731013e+00 -1.3279925e+01 -1.0309652e+00
  1.1330735e+01  3.4442875e+01  2.7594826e+01  2.1482969e+01
  1.7560331e+01 -4.4393821e+00  1.0857927e-01  1.0446776e+01
  2.1120899e+00  7.0342131e+00 -9.0667906e+00 -1.0174519e+01
  1.3525028e+01  6.0313344e-01  7.1207013e+00  1.3614912e+01
  1.2472230e+01  1.4285954e+01 -1.9992088e-01 -1.1581471e+00
 -2.4228519e-01  3.6265779e+00 -5.2621717e+00 -1.1225092e+00
 -2.7154243e-01 -5.6318617e+00  1.3930483e+00  9.5248032e+00]",Surprise
